#date: 2024-05-19_22:56
#sample: GCF_929618755.1_cpe012_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,ISEc45,,predicted,insertion sequence,1446,,0,0.974,0.999,1,37,"NZ_CAKNEF010000001.1 Escherichia coli strain cpe012, whole genome shotgun sequence",121625,123070,M200 I1 M1246
2,ISEch5,,predicted,insertion sequence,704,,0,0.882,0.99,1,82,"NZ_CAKNEF010000001.1 Escherichia coli strain cpe012, whole genome shotgun sequence",496756,497459,M80 I1 M624
3,MITEEc1,,predicted,mite,123,,0.0,0.976,1.0,0,3,"NZ_CAKNEF010000001.1 Escherichia coli strain cpe012, whole genome shotgun sequence",184766,184888,M123
4,ISEsa1,ISCfr9,predicted,insertion sequence,1467,,0,0.997,0.912,0,4,"NZ_CAKNEF010000002.1 Escherichia coli strain cpe012, whole genome shotgun sequence",134598,136064,M1467
5,ISEc38,,predicted,insertion sequence,1722,,0,0.947,1.0,0,91,"NZ_CAKNEF010000002.1 Escherichia coli strain cpe012, whole genome shotgun sequence",205135,206856,M1722
6,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,0.957,1.0,0,57,"NZ_CAKNEF010000002.1 Escherichia coli strain cpe012, whole genome shotgun sequence",200592,201922,M1331
7,MITEEc1,,predicted,mite,122,,0.0,0.878,0.992,1,14,"NZ_CAKNEF010000002.1 Escherichia coli strain cpe012, whole genome shotgun sequence",325924,326045,M44 I1 M78
8,ISEc8,,predicted,insertion sequence,2289,,0,0.994,0.939,0,13,"NZ_CAKNEF010000004.1 Escherichia coli strain cpe012, whole genome shotgun sequence",358422,360710,M224 N-5 M2070
9,IS609,,predicted,insertion sequence,1748,,0,0.979,1.0,0,36,"NZ_CAKNEF010000004.1 Escherichia coli strain cpe012, whole genome shotgun sequence",259746,261493,M1748
10,IS4,,predicted,insertion sequence,1426,,0,0.999,1.0,0,1,"NZ_CAKNEF010000004.1 Escherichia coli strain cpe012, whole genome shotgun sequence",334819,336244,M1426
11,ISSfl10,,predicted,insertion sequence,1264,,0,0.992,1.002,0,10,"NZ_CAKNEF010000004.1 Escherichia coli strain cpe012, whole genome shotgun sequence",343612,344875,M475 N25 M764
