#date: 2024-05-19_22:27
#sample: GCF_929617065.1_cpe085_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,MITEYpe1,,predicted,mite,123,,0.0,0.839,0.984,2,18,"NZ_CAKNDB010000001.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",707416,707538,M35 I1 M2 D1 M85
2,MITEYpe1,,predicted,mite,118,,0.0,0.847,0.959,0,18,"NZ_CAKNDB010000001.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",291950,292067,M118
3,ISEc9,ISEcp1;ISEcp1B,predicted,insertion sequence,1656,,0,1.0,1.0,0,0,"NZ_CAKNDB010000005.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",320559,322214,M1656
4,MITEYpe1,,predicted,mite,123,,0.0,0.839,0.984,2,18,"NZ_CAKNDB010000007.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",29519,29641,M85 D1 M2 I1 M35
5,MITEEc1,,predicted,mite,122,,0.0,0.855,0.976,3,15,"NZ_CAKNDB010000007.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",193408,193529,M28 D1 M4 I1 M12 I1 M77
6,ISEc33,,predicted,insertion sequence,1153,,0,0.992,1.0,0,9,"NZ_CAKNDB010000009.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",24127,25279,M1153
7,MITEYpe1,,predicted,mite,123,,0.0,0.813,1.0,0,23,"NZ_CAKNDB010000010.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",173351,173473,M123
8,ISKpn28,,predicted,insertion sequence,1096,,0,1.0,1.0,0,0,"NZ_CAKNDB010000014.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",34086,35181,M1096
9,ISKpn21,ISKpW,predicted,insertion sequence,2179,,0,1.0,0.957,0,0,"NZ_CAKNDB010000015.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",65918,68096,M2179
10,ISKpn38,,predicted,insertion sequence,1598,,0,0.999,1.0,0,1,"NZ_CAKNDB010000015.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",64320,65917,M1598
11,IS903,IS602;IS903R;IS903L,predicted,insertion sequence,1057,,0,0.974,1.0,0,28,"NZ_CAKNDB010000015.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",68097,69153,M1057
12,ISEch12,,predicted,insertion sequence,1197,,0,0.893,0.988,11,118,"NZ_CAKNDB010000015.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",93760,94956,M492 I2 M2 I1 M1 I1 M2 I2 M1 I1 M3 I1 M4 I2 M1 I1 M691
13,ISEcl10,,predicted,insertion sequence,1198,,0.0,0.759,0.981,14,276,"NZ_CAKNDB010000015.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",87010,88207,M373 D1 M2 I1 M5 I2 M4 D1 M3 D1 M74 D1 M2 I1 M108 I1 M1 I1 M6 D1 M1 D1 M576 I1 M5 D1 M31
14,ISKpn26,,predicted,insertion sequence,1196,,0,0.99,1.0,0,12,"NZ_CAKNDB010000020.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",91377,92572,M1196
15,MITEYpe1,,predicted,mite,120,,0.0,0.787,0.959,3,23,"NZ_CAKNDB010000021.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",22335,22454,M34 I1 M3 D1 M39 I1 M43
16,ISKpn18,,predicted,insertion sequence,1283,,0,1.0,0.985,0,0,"NZ_CAKNDB010000023.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",73887,75169,M1283
17,ISKpn25,,predicted,insertion sequence,8154,,0,1.0,1.0,0,0,"NZ_CAKNDB010000026.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",14798,22951,M8154
18,ISEcl1,,predicted,insertion sequence,1336,,0,0.984,1.0,0,22,"NZ_CAKNDB010000030.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",7923,9258,M1336
19,ISSen9,,predicted,insertion sequence,768,,0,0.948,1.0,0,40,"NZ_CAKNDB010000044.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",1,768,M768
20,ISSen15,,predicted,insertion sequence,759,,0,0.913,0.928,0,66,"NZ_CAKNDB010000050.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",1,759,M759
21,ISKpn1,,predicted,insertion sequence,1400,,0,0.999,0.969,0,1,"NZ_CAKNDB010000051.1 Klebsiella pneumoniae strain cpe085, whole genome shotgun sequence",1,1400,M1400
