#date: 2024-05-19_21:52
#sample: GCF_929608395.1_cpe081_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,MITEEc1,,predicted,mite,123,,0.0,0.992,1.0,0,1,"NZ_CAKNBZ010000001.1 Escherichia coli strain cpe081, whole genome shotgun sequence",329152,329274,M123
2,IS629,,predicted,insertion sequence,1200,,0,0.957,0.916,0,52,"NZ_CAKNBZ010000002.1 Escherichia coli strain cpe081, whole genome shotgun sequence",127,1326,M1200
3,ISKpn28,,predicted,insertion sequence,1096,,0.0,0.753,0.984,18,255,"NZ_CAKNBZ010000002.1 Escherichia coli strain cpe081, whole genome shotgun sequence",5063,6158,M33 D1 M8 I1 M30 D2 M1 D1 M2 I1 M3 I1 M1 I1 M200 I1 M6 D1 M130 D1 M1 D1 M5 I2 M119 D1 M4 I1 M421 D1 M3 I1 M120
4,ISSen9,,predicted,insertion sequence,768,,0,0.923,1.0,0,59,"NZ_CAKNBZ010000003.1 Escherichia coli strain cpe081, whole genome shotgun sequence",232393,233160,M768
5,ISSen9,,predicted,insertion sequence,768,,0,0.941,1.0,0,45,"NZ_CAKNBZ010000003.1 Escherichia coli strain cpe081, whole genome shotgun sequence",66703,67470,M768
6,ISSen9,,predicted,insertion sequence,768,,0,0.949,1.0,0,39,"NZ_CAKNBZ010000003.1 Escherichia coli strain cpe081, whole genome shotgun sequence",9425,10192,M768
7,MITEEc1,,predicted,mite,122,,0.0,0.984,0.992,1,1,"NZ_CAKNBZ010000003.1 Escherichia coli strain cpe081, whole genome shotgun sequence",22320,22441,M77 I1 M45
8,ISKpn8,,predicted,insertion sequence,1443,,0,0.947,1.0,0,76,"NZ_CAKNBZ010000004.1 Escherichia coli strain cpe081, whole genome shotgun sequence",13751,15193,M1443
9,ISKpn26,,predicted,insertion sequence,1148,,0,0.997,0.96,0,3,"NZ_CAKNBZ010000004.1 Escherichia coli strain cpe081, whole genome shotgun sequence",124,1271,M1148
10,MITEEc1,,predicted,mite,122,,0.0,0.854,0.992,1,17,"NZ_CAKNBZ010000004.1 Escherichia coli strain cpe081, whole genome shotgun sequence",152114,152235,M78 I1 M44
11,IS4,,predicted,insertion sequence,1426,,0,0.996,1.0,0,6,"NZ_CAKNBZ010000005.1 Escherichia coli strain cpe081, whole genome shotgun sequence",323683,325108,M1426
12,ISEc22,,predicted,insertion sequence,2229,,0,0.997,0.908,0,7,"NZ_CAKNBZ010000006.1 Escherichia coli strain cpe081, whole genome shotgun sequence",297730,299958,M2229
13,ISEc45,,predicted,insertion sequence,1446,,0,0.986,0.999,1,19,"NZ_CAKNBZ010000006.1 Escherichia coli strain cpe081, whole genome shotgun sequence",299959,301404,M37 I1 M1409
14,ISSfl10,,predicted,insertion sequence,1247,,0,0.979,0.988,17,9,"NZ_CAKNBZ010000006.1 Escherichia coli strain cpe081, whole genome shotgun sequence",316759,318005,M475 N25 M429 I17 M318
15,ISSen9,,predicted,insertion sequence,768,,0,0.923,1.0,0,59,"NZ_CAKNBZ010000006.1 Escherichia coli strain cpe081, whole genome shotgun sequence",319745,320512,M768
16,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,0.957,1.0,0,57,"NZ_CAKNBZ010000008.1 Escherichia coli strain cpe081, whole genome shotgun sequence",28304,29634,M1331
17,ISEc1,ISEc6;ISEc3;ISEc4;ISEc7;ISEc2,predicted,insertion sequence,1291,,0,0.965,1.0,0,45,"NZ_CAKNBZ010000009.1 Escherichia coli strain cpe081, whole genome shotgun sequence",7064,8354,M1291
18,ISKpn8,,predicted,insertion sequence,1443,,0,0.943,1.0,0,82,"NZ_CAKNBZ010000011.1 Escherichia coli strain cpe081, whole genome shotgun sequence",150148,151590,M1443
19,ISEc31,ISEc67,predicted,insertion sequence,1258,,0,0.941,1.0,0,74,"NZ_CAKNBZ010000014.1 Escherichia coli strain cpe081, whole genome shotgun sequence",35918,37175,M1258
20,ISEc9,ISEcp1;ISEcp1B,predicted,insertion sequence,1656,,0,1.0,1.0,0,0,"NZ_CAKNBZ010000015.1 Escherichia coli strain cpe081, whole genome shotgun sequence",3696,5351,M1656
21,IS421,IS186,predicted,insertion sequence,1339,,0,0.997,0.998,3,1,"NZ_CAKNBZ010000016.1 Escherichia coli strain cpe081, whole genome shotgun sequence",107324,108662,M1120 I3 M219
22,ISEc27,,predicted,insertion sequence,1235,,0,0.852,0.933,2,181,"NZ_CAKNBZ010000016.1 Escherichia coli strain cpe081, whole genome shotgun sequence",120,1354,M262 I1 M5 D1 M967
