#date: 2024-05-19_21:51
#sample: GCF_929607135.1_cpe043_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,ISKpn54,,predicted,insertion sequence,1210,,0,0.988,0.999,1,13,"NZ_CAKNBX010000001.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",621543,622752,M879 I1 M331
2,MITEEc1,,predicted,mite,123,,0.0,0.849,0.951,6,13,"NZ_CAKNBX010000002.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",143678,143800,M27 I1 M2 D1 M55 D1 M1 D1 M2 I2 M33
3,MITEEc1,,predicted,mite,122,,0.0,0.847,0.976,3,16,"NZ_CAKNBX010000003.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",584832,584953,M28 D1 M4 I1 M12 I1 M77
4,MITEYpe1,,predicted,mite,123,,0.0,0.847,0.984,2,17,"NZ_CAKNBX010000003.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",421006,421128,M85 D1 M2 I1 M35
5,ICEKpnHS11286-1,,predicted,ice,62197,,0,0.992,0.997,61,466,"NZ_CAKNBX010000004.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",361256,423452,M1834 N66 M15357 D5 M1880 D18 M143 I6 M2288 I4 M194 I1 M6 D1 M6 D1 M3 I1 M400 I1 M6 D1 M7 D1 M4 I1 M1245 I1 M3 D1 M9 I1 M2 D1 M37 D1 M2 D2 M2 D3 M12 D1 M2 I1 M47 D1 M3 I1 M11 D1 M2 D1 M6 I2 M31 D1 M7581 I1 M30968
6,MITEPlu5,,predicted,mite,111,,0.0,0.775,0.902,0,25,"NZ_CAKNBX010000006.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",180618,180728,M111
7,ISKpn1,,predicted,insertion sequence,1445,,0,0.997,1.0,0,4,"NZ_CAKNBX010000009.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",224396,225840,M1445
8,ISKpn54,,predicted,insertion sequence,1201,,0,0.94,0.992,10,63,"NZ_CAKNBX010000009.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",11033,12233,M558 I1 M1 I3 M1 I1 M2 I1 M2 I4 M637
9,ISEcl10,,predicted,insertion sequence,1198,,0.0,0.76,0.981,14,275,"NZ_CAKNBX010000009.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",18540,19737,M31 D1 M5 I1 M576 D1 M1 D1 M6 I1 M1 I1 M108 I1 M2 D1 M74 D1 M3 D1 M4 I2 M5 I1 M2 D1 M373
10,MITEYpe1,,predicted,mite,123,,0.0,0.813,1.0,0,23,"NZ_CAKNBX010000011.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",47441,47563,M123
11,MITEYpe1,,predicted,mite,120,,0.0,0.787,0.959,3,23,"NZ_CAKNBX010000013.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",22196,22315,M34 I1 M3 D1 M39 I1 M43
12,ISKpn19,,predicted,insertion sequence,2851,,0,0.999,1.0,0,3,"NZ_CAKNBX010000015.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",4331,7181,M2851
13,ISSen4,IS1222SC;ISEc34,predicted,insertion sequence,1221,,0,1.0,1.0,0,0,"NZ_CAKNBX010000015.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",1548,2768,M1221
14,ISSen9,,predicted,insertion sequence,768,,0,0.948,1.0,0,40,"NZ_CAKNBX010000015.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",37662,38429,M768
15,ISSty2,,predicted,insertion sequence,1258,,0,0.958,0.996,5,48,"NZ_CAKNBX010000016.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",29726,30983,M50 I1 M541 I2 M6 D1 M1 D1 M658
16,ISKpn14,,predicted,insertion sequence,768,,0,1.0,1.0,0,0,"NZ_CAKNBX010000019.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",6499,7266,M768
17,ISKpn60,,predicted,insertion sequence,1371,,0,1.0,0.998,0,0,"NZ_CAKNBX010000021.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",818,2188,M1371
18,IS6100,IS6100L;IS6100R,predicted,insertion sequence,880,,0,1.0,1.0,0,0,"NZ_CAKNBX010000024.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",4136,5015,M880
19,ISPa14,,predicted,insertion sequence,788,,0,1.0,1.0,0,0,"NZ_CAKNBX010000028.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",3200,3987,M788
20,IS26,IS46;IS26R;IS160;IS140;IS26L;IS6,predicted,insertion sequence,820,,0,1.0,1.0,0,0,"NZ_CAKNBX010000038.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",354,1173,M820
16_15,cn_30983_ISSty2,,putative,composite transposon,30983,,0,0.958,0.996,5,48,"NZ_CAKNBX010000016.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",0,30983,
21_20,cn_1173_IS26,,putative,composite transposon,1173,,0,1.0,1.0,0,0,"NZ_CAKNBX010000038.1 Klebsiella pneumoniae strain cpe043, whole genome shotgun sequence",0,1173,
