#date: 2024-05-19_22:21
#sample: GCF_929616755.1_cpe014_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,ISSba14,,predicted,insertion sequence,3623,,0,0.886,0.947,13,400,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",131326,134948,M335 I1 M3 D1 M115 I1 M29 I1 M2 D1 M36 D1 M1 D1 M8 I2 M274 D2 M6 I2 M2808
2,ISEc8,,predicted,insertion sequence,2289,,0,0.994,0.939,0,13,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",22178,24466,M224 N-5 M2070
3,ISEc23,,predicted,insertion sequence,2532,,0,0.929,0.997,8,173,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",27146,29677,M215 D1 M4 I1 M152 I1 M6 D1 M425 D1 M6 I1 M227 D1 M3 I1 M1490
4,IS609,,predicted,insertion sequence,1748,,0,0.977,1.0,0,40,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",242804,244551,M1748
5,ISEsa1,ISCfr9,predicted,insertion sequence,1467,,0,0.997,0.912,0,5,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",31041,32507,M1467
6,IS3,,predicted,insertion sequence,1258,,0,0.998,1.0,0,2,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",141493,142750,M1258
7,ISEc5,,predicted,insertion sequence,1291,,0,0.988,1.0,0,16,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",210318,211608,M1291
8,ISSfl10,,predicted,insertion sequence,1264,,0,0.992,1.002,0,10,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",7368,8631,M475 N25 M764
9,ISLad1,,predicted,insertion sequence,1248,,0,0.903,0.999,1,120,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",3610,4857,M317 I1 M931
10,ISEc26,,predicted,insertion sequence,1204,,0,0.986,0.92,7,10,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",211607,212810,M38 I5 M311 D1 M752 D1 M101
11,ISSen9,,predicted,insertion sequence,768,,0,0.923,1.0,0,59,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",18097,18864,M768
12,ISSen9,,predicted,insertion sequence,768,,0,0.945,1.0,0,42,"NZ_CAKNCX010000003.1 Escherichia coli strain cpe014, whole genome shotgun sequence",137214,137981,M768
13,ISSen9,,predicted,insertion sequence,771,,0,0.92,0.996,3,59,"NZ_CAKNCX010000005.1 Escherichia coli strain cpe014, whole genome shotgun sequence",231227,231997,M502 D1 M1 D1 M1 D1 M264
14,ISSen9,,predicted,insertion sequence,768,,0,0.94,1.0,0,46,"NZ_CAKNCX010000006.1 Escherichia coli strain cpe014, whole genome shotgun sequence",1,768,M768
