#date: 2024-05-19_22:02
#sample: GCF_929608935.1_cpe049_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,MITEEc1,,predicted,mite,123,,0.0,0.843,0.935,8,12,"NZ_CAKNCG010000007.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",38757,38879,M25 D2 M8 I1 M3 I1 M47 D1 M1 D1 M2 I2 M33
2,ISKpn74,,predicted,insertion sequence,1056,,0,0.917,1.0,0,88,"NZ_CAKNCG010000008.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",92569,93624,M1056
3,MITEEc1,,predicted,mite,122,,0.0,0.855,0.976,3,15,"NZ_CAKNCG010000009.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",32183,32304,M77 I1 M12 I1 M4 D1 M28
4,MITEYpe1,,predicted,mite,123,,0.0,0.813,1.0,0,23,"NZ_CAKNCG010000015.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",53371,53493,M123
5,MITEYpe1,,predicted,mite,117,,0.0,0.79,0.935,3,22,"NZ_CAKNCG010000018.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",67792,67908,M43 I1 M39 D1 M3 I1 M31
6,ISKpn1,,predicted,insertion sequence,1445,,0,0.998,1.0,0,3,"NZ_CAKNCG010000020.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",84398,85842,M1445
7,ISKpn60,,predicted,insertion sequence,1374,,0,1.0,1.0,0,0,"NZ_CAKNCG010000020.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",59685,61058,M1374
8,ISEc21,ISCfr5,predicted,insertion sequence,1378,,0.0,0.739,0.978,30,333,"NZ_CAKNCG010000020.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",8756,10133,M32 I3 M9 D1 M3 D1 M6 I1 M1 I1 M59 D2 M125 I1 M8 D2 M2 D1 M4 I1 M4 I1 M12 I1 M12 D2 M2 D1 M2 D1 M2 D2 M4 I1 M9 D1 M363 D1 M2 D1 M7 I1 M12 I1 M358 D1 M7 I1 M316
9,ISKpn26,,predicted,insertion sequence,1196,,0,0.991,1.0,0,11,"NZ_CAKNCG010000020.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",44944,46139,M1196
10,IS26,IS46;IS26R;IS160;IS140;IS26L;IS6,predicted,insertion sequence,820,,0,0.999,1.0,0,1,"NZ_CAKNCG010000020.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",19633,20452,M820
11,ISSen9,,predicted,insertion sequence,777,,0,0.94,0.988,9,38,"NZ_CAKNCG010000020.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",70218,70994,M486 D1 M1 D8 M281
12,ISSen9,,predicted,insertion sequence,768,,0,0.94,1.0,0,46,"NZ_CAKNCG010000025.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",54229,54996,M768
13,ISCfr14,,predicted,insertion sequence,2438,,0,0.891,0.998,4,262,"NZ_CAKNCG010000026.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",30322,32759,M706 I1 M1367 I2 M1 I1 M364
14,ISEc27,,predicted,insertion sequence,1342,,0.0,0.728,0.906,54,294,"NZ_CAKNCG010000026.1 Klebsiella pneumoniae strain cpe049, whole genome shotgun sequence",37013,38354,M64 I1 M152 N89 M158 D1 M1 D1 M3 I1 M5 I1 M55 I1 M4 D1 M23 D1 M2 D1 M3 D1 M12 I1 M1 I1 M1 I1 M25 D3 M6 I3 M15 D1 M1 D5 M61 D1 M2 I1 M14 D2 M2 I1 M1 I1 M6 D1 M5 I1 M3 D1 M4 I1 M47 I1 M3 D1 M5 I1 M2 I1 M1 I1 M28 I1 M8 D1 M173 D1 M3 I1 M70 D2 M6 I2 M31 I1 M3 D1 M6 D1 M8 I1 M72 I1 M3 D1 M127
