#date: 2024-05-19_22:48
#sample: GCF_929618365.1_cpe078_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,IS609,,predicted,insertion sequence,1743,,0,0.973,0.997,5,43,"NZ_CAKNDS010000001.1 Escherichia coli strain cpe078, whole genome shotgun sequence",108206,109948,M1370 I5 M373
2,MITEEc1,,predicted,mite,121,,0.0,0.983,0.984,0,2,"NZ_CAKNDS010000001.1 Escherichia coli strain cpe078, whole genome shotgun sequence",787754,787874,M121
3,MITEEc1,,predicted,mite,122,,0.0,0.878,0.992,1,14,"NZ_CAKNDS010000002.1 Escherichia coli strain cpe078, whole genome shotgun sequence",214219,214340,M44 I1 M78
4,MITEEc1,,predicted,mite,123,,0.0,0.984,1.0,0,2,"NZ_CAKNDS010000002.1 Escherichia coli strain cpe078, whole genome shotgun sequence",768990,769112,M123
5,ISKpn26,,predicted,insertion sequence,1196,,0,0.989,1.0,0,13,"NZ_CAKNDS010000003.1 Escherichia coli strain cpe078, whole genome shotgun sequence",707351,708546,M1196
6,MITEEc1,,predicted,mite,123,,0.0,1.0,1.0,0,0,"NZ_CAKNDS010000003.1 Escherichia coli strain cpe078, whole genome shotgun sequence",372323,372445,M123
7,MITEEc1,,predicted,mite,119,,0.0,0.975,0.967,0,3,"NZ_CAKNDS010000003.1 Escherichia coli strain cpe078, whole genome shotgun sequence",113005,113123,M119
8,MITEEc1,,predicted,mite,122,,0.0,0.934,0.992,0,8,"NZ_CAKNDS010000006.1 Escherichia coli strain cpe078, whole genome shotgun sequence",261954,262075,M122
9,MITEYpe1,,predicted,mite,114,,0.0,0.784,0.911,3,22,"NZ_CAKNDS010000011.1 Escherichia coli strain cpe078, whole genome shotgun sequence",29917,30030,M40 D1 M5 I1 M21 I1 M47
10,ISKpn26,,predicted,insertion sequence,1196,,0,0.989,1.0,0,13,"NZ_CAKNDS010000013.1 Escherichia coli strain cpe078, whole genome shotgun sequence",76309,77504,M1196
11,ISSen9,,predicted,insertion sequence,761,,0,0.945,0.991,0,42,"NZ_CAKNDS010000013.1 Escherichia coli strain cpe078, whole genome shotgun sequence",98413,99173,M761
12,IS21,IS8,predicted,insertion sequence,2131,,0,0.984,1.0,0,34,"NZ_CAKNDS010000014.1 Escherichia coli strain cpe078, whole genome shotgun sequence",85656,87786,M2131
13,ISSbo1,,predicted,insertion sequence,1709,,0,0.975,0.999,2,40,"NZ_CAKNDS010000014.1 Escherichia coli strain cpe078, whole genome shotgun sequence",9925,11633,M177 I1 M1460 D1 M71
14,IS2,IS4521L;IS4521R,predicted,insertion sequence,1331,,0,0.96,1.0,0,53,"NZ_CAKNDS010000014.1 Escherichia coli strain cpe078, whole genome shotgun sequence",8304,9634,M1331
15,ISEc19,,predicted,insertion sequence,1229,,0,0.838,0.992,10,190,"NZ_CAKNDS010000014.1 Escherichia coli strain cpe078, whole genome shotgun sequence",4241,5469,M423 D1 M1 D1 M5 I1 M1 I1 M2 I1 M10 D1 M155 I1 M2 D1 M516 D1 M3 I1 M106
16,ISKpn8,,predicted,insertion sequence,1443,,0,0.946,1.0,0,78,"NZ_CAKNDS010000016.1 Escherichia coli strain cpe078, whole genome shotgun sequence",51043,52485,M1443
17,ISSen1,,predicted,insertion sequence,1311,,0,0.905,0.999,1,124,"NZ_CAKNDS010000020.1 Escherichia coli strain cpe078, whole genome shotgun sequence",34299,35609,M1011 I1 M300
18,IS21,IS8,predicted,insertion sequence,2131,,0,0.985,1.0,0,33,"NZ_CAKNDS010000022.1 Escherichia coli strain cpe078, whole genome shotgun sequence",15888,18018,M2131
19,ISSfl4,,predicted,insertion sequence,1451,,0,0.992,1.0,0,12,"NZ_CAKNDS010000022.1 Escherichia coli strain cpe078, whole genome shotgun sequence",1297,2747,M1451
20,ISEc37,,predicted,insertion sequence,1828,,0,0.918,0.999,2,148,"NZ_CAKNDS010000022.1 Escherichia coli strain cpe078, whole genome shotgun sequence",2954,4781,M30 I1 M43 D1 M1754
21,IS6100,IS6100L;IS6100R,predicted,insertion sequence,880,,0,1.0,1.0,0,0,"NZ_CAKNDS010000035.1 Escherichia coli strain cpe078, whole genome shotgun sequence",1219,2098,M880
22,ISCro4,,predicted,insertion sequence,1186,,0,0.829,0.907,14,190,"NZ_CAKNDS010000041.1 Escherichia coli strain cpe078, whole genome shotgun sequence",3,1188,M524 I1 M5 D1 M237 D2 M1 D1 M10 I1 M1 I2 M40 D1 M3 I1 M3 D1 M4 I1 M268 I1 M26 I1 M58
2_1,cn_29545_IS609,,putative,composite transposon,29545,,0,0.973,0.997,5,43,"NZ_CAKNDS010000001.1 Escherichia coli strain cpe078, whole genome shotgun sequence",80403,109948,
19_18,cn_18018_IS21,,putative,composite transposon,18018,,0,0.985,1.0,0,33,"NZ_CAKNDS010000022.1 Escherichia coli strain cpe078, whole genome shotgun sequence",0,18018,
