#date: 2024-05-19_22:40
#sample: GCF_929618215.1_cpe006_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,ISPen2,,predicted,insertion sequence,1232,,0,0.961,1.0,0,48,"NZ_CAKNDZ010000037.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",32884,34115,M1232
2,ISPa26,,predicted,insertion sequence,1193,,0,0.997,1.0,0,3,"NZ_CAKNDZ010000056.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",25203,26395,M1193
3,ISPa140,,predicted,insertion sequence,2378,,0,0.93,0.996,10,156,"NZ_CAKNDZ010000071.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",8445,10822,M302 I3 M1 I1 M1 I2 M739 I2 M2 D1 M1 D1 M1330
4,ISPsko1,,predicted,insertion sequence,2370,,0,0.912,0.993,5,203,"NZ_CAKNDZ010000086.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",5953,8322,M16 I1 M34 I2 M3 D2 M2315
5,ISPa79,,predicted,insertion sequence,1443,,0,1.0,0.98,0,0,"NZ_CAKNDZ010000096.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",6270,7712,M1443
6,ISPst3,,predicted,insertion sequence,2605,,0,0.949,1.0,1,131,"NZ_CAKNDZ010000097.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",138,2742,M109 I1 M2496
7,ISPa1635,,predicted,insertion sequence,1637,,0,0.991,0.999,2,12,"NZ_CAKNDZ010000097.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",5106,6742,M1428 D2 M207
8,ISPst8,,predicted,insertion sequence,905,,0.0,0.784,0.988,6,190,"NZ_CAKNDZ010000101.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",2309,3213,M18 D1 M5 I1 M693 D1 M3 I1 M116 D1 M3 I1 M64
9,ISPsko1,,predicted,insertion sequence,2356,,0,0.913,0.984,6,200,"NZ_CAKNDZ010000117.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",390,2745,M61 D3 M1090 D2 M2 D1 M1197
10,IS6100,IS6100L;IS6100R,predicted,insertion sequence,880,,0,1.0,1.0,0,0,"NZ_CAKNDZ010000123.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",105,984,M880
11,ISCte7,,predicted,insertion sequence,873,,0,0.815,0.982,16,148,"NZ_CAKNDZ010000127.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",686,1558,M475 I1 M103 I1 M1 I2 M3 I3 M2 I2 M5 I1 M1 I1 M9 I1 M3 D1 M31 I1 M5 D1 M217 I1 M16
12,Tn6196,,predicted,unit transposon,3510,,0,0.825,0.954,34,582,"NZ_CAKNDZ010000128.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",41,3550,M84 D1 M442 I1 M5 D1 M104 D3 M443 I1 M4 D1 M120 I1 M5 D1 M463 I1 M3 D1 M74 D1 M6 I1 M216 I1 M2 D1 M306 I3 M185 D1 M4 I1 M180 D1 M2 I1 M148 D1 M4 I1 M245 I1 M2 I2 M393 D1 M2 D1 M4 I2 M14 D1 M8 I1 M26
13,ISPsy14,,predicted,insertion sequence,2621,,0,0.878,0.99,23,296,"NZ_CAKNDZ010000136.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",1,2621,M40 N25 M1513 I1 M2 D1 M689 I1 M1 I1 M5 D2 M5 D1 M3 I1 M14 D1 M6 D1 M4 I1 M1 I1 M14 D1 M6 I1 M166 D1 M11 I2 M8 D2 M56 I1 M1 I1 M3 D1 M1 D1 M35
14,ISPsy34,,predicted,insertion sequence,2027,,0,0.764,0.922,40,419,"NZ_CAKNDZ010000142.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",44,2070,M13 D1 M4 I1 M43 D1 M3 I1 M133 I1 M5 D1 M221 I1 M3 D1 M155 I1 M6 D1 M115 D4 M9 I3 M1 I1 M95 I1 M4 D1 M481 D1 M2 D2 M1 D4 M4 D1 M14 D1 M87 N97 M10 D1 M4 I1 M54 D1 M106 D1 M6 I1 M5 I1 M3 D1 M237 D1 M7 I1 M1 I1 M9 I1 M65
15,ISPpu15,,predicted,insertion sequence,2041,,0,0.78,0.968,32,414,"NZ_CAKNDZ010000143.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",2,2042,M25 D1 M3 I1 M7 N34 M172 D1 M4 I1 M124 I2 M4 D1 M2 D1 M47 D1 M3 I1 M21 D1 M2 I1 M24 I1 M4 D1 M143 I1 M5 D1 M5 I1 M2 D1 M702 D3 M5 D1 M1 D1 M8 I2 M2 I1 M2 I1 M1 I1 M35 D1 M6 I1 M395 D1 M6 I1 M231
16,ISPsy35,,predicted,insertion sequence,1620,,0.0,0.72,0.903,73,390,"NZ_CAKNDZ010000147.1 Pseudomonas putida strain cpe006, whole genome shotgun sequence",67,1686,M50 D1 M5 I1 M132 D1 M3 I1 M62 I1 M3 D1 M179 I2 M3 D1 M5 D1 M32 I1 M4 D1 M22 D2 M10 I1 M1 I1 M7 I1 M1 I1 M6 D1 M6 D1 M13 D1 M5 I1 M55 D1 M2 I1 M110 D1 M4 I1 M16 D1 M1 D1 M2 I1 M1 I1 M135 D1 M1 D3 M13 D2 M1 D1 M5 I1 M2 I1 M6 I2 M5 I3 M128 D1 M1 D1 M5 I1 M1 I1 M110 D1 M2 D1 M9 I1 M1 I1 M82 D1 M3 I1 M108 D1 M2 D1 M1 D2 M1 D1 M1 D1 M53 D2 M9 D1 M3 D1 M2 D1 M6 I1 M36 I1 M31 I1 M6 D1 M24 I1 M8 D1 M10 D1 M2 D1 M25
