#date: 2024-05-19_22:55
#sample: GCF_929618575.1_cpe020_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,ISEc17,IS3E,predicted,insertion sequence,1258,,0,0.998,1.0,0,3,"NZ_CAKNEA010000001.1 Escherichia coli strain cpe020, whole genome shotgun sequence",245796,247053,M1258
2,ISSen9,,predicted,insertion sequence,768,,0,0.94,1.0,0,46,"NZ_CAKNEA010000001.1 Escherichia coli strain cpe020, whole genome shotgun sequence",248845,249612,M768
3,MITEEc1,,predicted,mite,123,,0.0,1.0,1.0,0,0,"NZ_CAKNEA010000001.1 Escherichia coli strain cpe020, whole genome shotgun sequence",289669,289791,M123
4,MITEYpe1,,predicted,mite,115,,0.0,0.809,0.935,0,22,"NZ_CAKNEA010000001.1 Escherichia coli strain cpe020, whole genome shotgun sequence",488097,488211,M115
5,ISEch5,,predicted,insertion sequence,704,,0,0.882,0.99,1,82,"NZ_CAKNEA010000002.1 Escherichia coli strain cpe020, whole genome shotgun sequence",10201,10904,M624 I1 M80
6,MITEEc1,,predicted,mite,123,,0.0,0.976,1.0,0,3,"NZ_CAKNEA010000002.1 Escherichia coli strain cpe020, whole genome shotgun sequence",322866,322988,M123
7,ISCro1,,predicted,insertion sequence,2699,,0,0.981,0.999,2,50,"NZ_CAKNEA010000003.1 Escherichia coli strain cpe020, whole genome shotgun sequence",379470,382168,M309 D1 M2 I1 M2387
8,ISEsa1,ISCfr9,predicted,insertion sequence,1467,,0,0.997,0.912,0,4,"NZ_CAKNEA010000003.1 Escherichia coli strain cpe020, whole genome shotgun sequence",392692,394158,M1467
9,MITEEc1,,predicted,mite,122,,0.0,0.878,0.992,1,14,"NZ_CAKNEA010000003.1 Escherichia coli strain cpe020, whole genome shotgun sequence",262120,262241,M78 I1 M44
10,ISEch5,,predicted,insertion sequence,704,,0,0.882,0.99,1,82,"NZ_CAKNEA010000005.1 Escherichia coli strain cpe020, whole genome shotgun sequence",197010,197713,M624 I1 M80
