#date: 2024-05-19_21:58
#sample: GCF_929608695.1_cpe028_genomic
#mge_finder version: 1.1.2
#mgedb version: 1.1.1
#blastn version: 2.11.0+
mge_no,name,synonyms,prediction,type,allele_len,depth,e_value,identity,coverage,gaps,substitution,contig,start,end,cigar
1,MITEEc1,,predicted,mite,123,,0.0,0.935,1.0,0,8,"NZ_CAKNCB010000001.1 Escherichia coli strain cpe028, whole genome shotgun sequence",112175,112297,M123
2,IS609,,predicted,insertion sequence,1747,,0,0.979,0.999,1,36,"NZ_CAKNCB010000002.1 Escherichia coli strain cpe028, whole genome shotgun sequence",189097,190843,M401 I1 M1346
3,ISEch5,,predicted,insertion sequence,704,,0,0.877,0.99,1,86,"NZ_CAKNCB010000002.1 Escherichia coli strain cpe028, whole genome shotgun sequence",360773,361476,M624 I1 M80
4,MITEYpe1,,predicted,mite,115,,0.0,0.8,0.935,0,23,"NZ_CAKNCB010000002.1 Escherichia coli strain cpe028, whole genome shotgun sequence",64483,64597,M115
5,MITEYpe1,,predicted,mite,123,,0.0,0.78,1.0,0,27,"NZ_CAKNCB010000003.1 Escherichia coli strain cpe028, whole genome shotgun sequence",202184,202306,M123
6,ISSen9,,predicted,insertion sequence,768,,0,0.948,1.0,0,40,"NZ_CAKNCB010000004.1 Escherichia coli strain cpe028, whole genome shotgun sequence",334489,335256,M768
7,MITEEc1,,predicted,mite,123,,0.0,0.911,1.0,0,11,"NZ_CAKNCB010000004.1 Escherichia coli strain cpe028, whole genome shotgun sequence",230487,230609,M123
8,MITEEc1,,predicted,mite,122,,0.0,0.984,0.992,1,1,"NZ_CAKNCB010000007.1 Escherichia coli strain cpe028, whole genome shotgun sequence",223390,223511,M77 I1 M45
9,ISSen8,,predicted,insertion sequence,1954,,0,0.867,1.0,0,259,"NZ_CAKNCB010000009.1 Escherichia coli strain cpe028, whole genome shotgun sequence",72702,74655,M1954
10,ISEc37,,predicted,insertion sequence,1847,,0,0.929,0.985,27,104,"NZ_CAKNCB010000009.1 Escherichia coli strain cpe028, whole genome shotgun sequence",55187,57033,M75 D1 M388 D5 M1 D2 M3 D6 M1 D6 M3 I1 M627 I1 M2 D1 M590 D1 M4 D1 M2 I1 M1 I1 M127
11,ISEc48,,predicted,insertion sequence,1335,,0,0.987,0.999,1,17,"NZ_CAKNCB010000009.1 Escherichia coli strain cpe028, whole genome shotgun sequence",82725,84059,M961 I1 M374
12,ISCfr6,,predicted,insertion sequence,1258,,0,0.97,1.0,0,38,"NZ_CAKNCB010000009.1 Escherichia coli strain cpe028, whole genome shotgun sequence",60835,62092,M1258
13,MITEYpe1,,predicted,mite,123,,0.0,0.78,1.0,0,27,"NZ_CAKNCB010000012.1 Escherichia coli strain cpe028, whole genome shotgun sequence",16621,16743,M123
14,ISEch5,,predicted,insertion sequence,704,,0,0.878,0.99,1,85,"NZ_CAKNCB010000016.1 Escherichia coli strain cpe028, whole genome shotgun sequence",20917,21620,M624 I1 M80
15,MITEEc1,,predicted,mite,123,,0.0,0.992,1.0,0,1,"NZ_CAKNCB010000019.1 Escherichia coli strain cpe028, whole genome shotgun sequence",45390,45512,M123
11_10,cn_5647_ISEc37,,putative,composite transposon,5647,,0,0.929,0.985,27,104,"NZ_CAKNCB010000009.1 Escherichia coli strain cpe028, whole genome shotgun sequence",55186,60833,
